"06/306","DEK Telecom GmbH"
"06/311","AlphaCron Datensysteme"
"06/319","MDDSL Mitteldeutsche Gesellschaft für Kommunikation mbH"
"06/325","Norman Dietzen (Wireless-DSL - Eifel-DSL)"
"06/336","Voxbone SA"
"06/341","voipGATE S.A."
"06/363","GWS Stadtwerke Hameln GmbH"
"06/364","HochrheinNET GmbH"
"06/367","Susann Höhne Mobil24-direct"
"06/372","Netcommunity GmbH"
"07/007","vocatel business gmbh"
"07/027","AS Antennenanlagen-Service GmbH"
"07/033","AVACOMM Systems GmbH"
"07/034","Drillisch Online AG"
"07/034","VICTORVOX"
"07/043","Kadsoft Computer GmbH Freital"
"07/046","Computertechnik Trenkle e.K."
"07/079","G-FIT Gesellschaft für innovative Telekommunikationsdienste mbH & Co. KG"
"07/097","Broadsoft Germany GmbH"
"07/138","Tele Columbus Multimedia GmbH"
"07/172","NFON AG"
"07/183","Feedback Mobile Services GmbH"
"07/198","G. Ziegelmeier e.K"
"07/214","Server-Ware GmbH"
"07/228","DALASON GmbH"
"07/232","Stadtwerke Wedel GmbH"
"07/262","DeTeWe Communications GmbH"
"07/281","FPS Informationssysteme GmbH"
"07/313","toplink GmbH"
"07/320","TeamFON GmbH"
"07/348","WiSoTEL"
"08/010","inexio Informationstechnologie und Telekommunikation GmbH"
"08/013","Deutsche Telefon Standard AG"
"08/014","AEP Plückhahn Netze GmbH"
"08/016","3U TELECOM GmbH"
"08/042","Brandl Services GmbH"
"08/049","BBS-Mitteldeutsche Breitbandsystem UG"
"08/086","AirIT Services GmbH"
"08/115","WTC Wohnen & TeleCommunication GmbH & Co. KG"
"08/132","equada GmbH"
"08/140","Stadtwerke Einbeck GmbH"
"08/144","RelAix Networks GmbH"
"08/156","KNT Internet"
"08/158","Netzquadrat"
"08/170","Agiliscom AG"
"08/185","Stadtwerke Trostberg Telekommunikation GmbH"
"08/192","Photonium NetSolutions GmbH"
"08/202","Arche Netvision GmbH"
"08/213","Tele Columbus Hessen GmbH"
"08/214","BBcom Berlin-Brandenburgische Communikationsgesellschaft mbH"
"08/220","R&M SimplyTechnnologies GmbH"
"08/227","Stadtwerke Schwedt GmbH"
"08/231","Regionalantenne Cunnersdorf e.V."
"08/253","E-Plus Mobilfunk GmbH"
"08/262","TeleForte AG"
"08/289","BORnet GmbH"
"08/313","Schönenberg-Computer GmbH"
"08/316","Tal.de Klaus Internet Service GmbH"
"08/318","RST Datentechnik GmbH"
"08/320","easybell GmbH"
"08/321","ip-fabric GmbH"
"08/322","Stiegeler Internet Service GmbH"
"08/324","Freikom GmbH"
"08/331","Damovo Deutschland GmbH & Co. KG"
"08/338","JOBST DSL e.K."
"08/345","ICN GmbH + Co. KG"
"08/346","Antennen Einert e.K."
"09/003","ANTEC Servicepool GmbH"
"09/038","Tele-System Harz GmbH"
"09/042","Trusted Network GmbH"
"09/057","mieX Deutschland GmbH"
"09/059","meetyoo conferencing GmbH"
"09/080","RSM Freilassing, Michael Reiner Rack"
"09/091","COS-on-Air OHG"
"09/102","WDSL-Oberlausitz"
"09/106","Teleport GmbH"
